StudentID,username,surname,firstName,gender,home,average,team,status
208031587,JaredJennings,Jared,Jennings,F,H,100,,
208002991,MauricioCarr,Carr,Mauricio,M,H,96,,
208026943,PhillipGoodman,Goodman,Phillip,M,H,79,,
207069131,MurielAllen,Muriel,Allen,M,H,79,,
208014819,JospehPatton,Jospeh,Patton,M,O,42,,
208065064,MarquitaKeith,Keith,Marquita,F,H,96,,
207045467,Fide Shah,Shah,Fidel,M,H,96,,
208064954,BelindaHill,Hill,Belinda,M,H,100,,
208022752,BryanRodgers,Rodgers,Bryan,M,H,96,,
208065155,MarquisFuller,Marquis,Fuller,M,H,79,,
208009112,WoodrowGentry,Woodrow,Gentry,M,H,78,,
208030174,RosalieSutton,Sutton,Rosalie,M,H,42,,
208015062,JordonBoone,Boone,Jordon,M,H,100,,
208065130,QuinnDickerson,Quinn,Dickerson,M,H,96,,
208001810,GarthGalloway,Garth,Galloway,M,H,96,,
208034253,LakeishaBlake,Blake,Lakeisha,M,H,78,,
207036032,EvaGilbert,Eva,Gilbert,M,H,35,,
207036776,ArleneHolden,Arlene,Holden,M,O,81,,
208064922,MurrayHenry,Murray,Henry,M,H,100,,
208008294,JaysonBenitez,Jayson,Benitez,M,H,96,,
208065143,CarltonNovak,Carlton,Novak,M,H,77,,
208063956,KaylaSanford,Kayla,Sanford,M,O,46,,
208016615,SolPitts,Sol,Pitts,M,H,86,,
207009782,LucienNolan,Lucien,Nolan,M,H,96,,
208037463,AndySchroeder,Schroeder,Andy,M,H,100,,
208009084,ConsueloGood,Consuelo,Good,M,H,96,,
207026694,IgnacioLeblanc,Ignacio,Leblanc,M,H,96,,
208005937,OmerDuarte,Omer,Duarte,M,H,81,,
208023029,RosalindaWalter,Rosalinda,Walter,M,H,77,,
209078254,MargueriteRojas,Marguerite,Rojas,M,O,50,,"Arrived for Y2, no Yr 1 score"
207032011,AndersonSanchez,Anderson,Sanchez,F,H,80,,
208034026,KelliLeonard,Leonard,Kelli,M,H,96,,
208047415,ImogeneObrien,Imogene,Obrien,M,H,96,,
206041650,SusieBennett,Bennett,Susie,M,H,52,,
208046677,GavinPalmer,Palmer,Gavin,M,H,41,,
208023584,LynnFernandez,Fernandez,Lynn,F,O,77,,
208014111,NataliaCurry,Natalia,Curry,M,H,97,,
208028189,DaronHouse,Daron,House,M,H,99,,
208016240,MarleneBurns,Marlene,Burns,F,H,96,,
207034595,TraceyAguilar,Tracey,Aguilar,M,H,81,,
207030715,JesusNelson,Jesus,Nelson,M,H,76,,
208046148,StephanieHendrix,Stephanie,Hendrix,M,O,52,,
208038000,TitusRoach,Titus,Roach,F,H,98,,
207023254,CatalinaCombs,Catalina,Combs,F,H,99,,
207001293,GloriaBooker,Gloria,Booker,M,H,96,,
208065047,ShaunaCordova,Shauna,Cordova,M,H,96,,
208065069,AngelTrevino,Angel,Trevino,M,H,81,,
207037221,MeganMccall,Megan,Mccall,F,H,76,,
208022796,MiloMiles,Milo,Miles,M,H,52,,
208028201,GayleRivers,Gayle,Rivers,M,H,99,,
208032727,SebastianJuarez,Sebastian,Juarez,M,H,96,,
208020120,ZohraAbellan,Zohra,Abellan,M,H,82,,
208064977,RosaliaMoral,Rosalia, Moral,M,H,76,,
208036828,MarcosMarrero,Marrero,Marcos,M,H,52,,
208016469,AngelesPalomo,Angeles,Palomo,M,H,96,,
208021639,AngelaKaur,Angela,Kaur,F,H,96,,
207060859,BenitaMartinez,Benita,Martinez,F,H,99,,
208019531,AlinaAlamo,Alina,Alamo,M,H,83,,
205019077,MarisolVegas,Vegas,Marisol,M,H,75,,
